SG=<i>P</i><i>c</i>
 name=7.24
 spinor=True
symmetries=
    1 0 0 0 1 0 0 0 1    0 0 0  1.0 0.0 0.0 1.0    0.0 0.0 0.0 0.0
 1 0 0 0 -1 0 0 0 1    0 0 1/2  0.0 1.0 1.0 0.0    0.0 1.0 0.0 0.0


kpoint  GM : 0.000000 0.000000 0.000000 :  1 2
-GM3  1  0.0 -1.0  0.0
-GM4  1  0.0 -1.0  0.0



kpoint  A : 0.500000 0.000000 0.500000 :  1 2
-A3  1  1.0 -1.0 -1.0
-A4  1 -1.0 -1.0  1.0



kpoint  B : 0.000000 0.000000 0.500000 :  1 2
-B3  1  1.0 -1.0 -1.0
-B4  1 -1.0 -1.0  1.0



kpoint  C : 0.500000 0.500000 0.000000 :  1 2
-C3  1  0.0 -1.0  0.0
-C4  1  0.0 -1.0  0.0



kpoint  D : 0.000000 0.500000 0.500000 :  1 2
-D3  1  1.0 -1.0 -1.0
-D4  1 -1.0 -1.0  1.0



kpoint  E : 0.500000 0.500000 0.500000 :  1 2
-E3  1  1.0 -1.0 -1.0
-E4  1 -1.0 -1.0  1.0



kpoint  Y : 0.500000 0.000000 0.000000 :  1 2
-Y3  1  0.0 -1.0  0.0
-Y4  1  0.0 -1.0  0.0



kpoint  Z : 0.000000 0.500000 0.000000 :  1 2
-Z3  1  0.0 -1.0  0.0
-Z4  1  0.0 -1.0  0.0
