SG=<i>P</i>-4'2<sub>1</sub><i>m</i>'
 name=113.270
 spinor=True
symmetries=
       1 0 0 0 1 0 0 0 1    0 0 0     1.0 0.0 0.0 1.0    0.0 0.0 0.0 0.0
     -1 0 0 0 -1 0 0 0 1    0 0 0    1.0 0.0 0.0 1.0    -0.5 0.0 0.0 0.5
 -1 0 0 0 1 0 0 0 -1    1/2 1/2 0     0.0 1.0 1.0 0.0    0.0 1.0 0.0 0.0
 1 0 0 0 -1 0 0 0 -1    1/2 1/2 0   0.0 1.0 1.0 0.0    0.0 -0.5 -0.5 0.0
     0 1 0 -1 0 0 0 0 -1    0 0 0   1.0 0.0 0.0 1.0    0.75 0.0 0.0 0.25
     0 -1 0 1 0 0 0 0 -1    0 0 0   1.0 0.0 0.0 1.0    0.25 0.0 0.0 0.75
 0 -1 0 -1 0 0 0 0 1    1/2 1/2 0  0.0 1.0 1.0 0.0    0.0 -0.75 0.75 0.0
   0 1 0 1 0 0 0 0 1    1/2 1/2 0   0.0 1.0 1.0 0.0    0.0 0.75 0.25 0.0


kpoint  GM : 0.000000 0.000000 0.000000 :  1 2 3 4 5 6 7 8
-GM5  2  0.0  0.0  0.0 -2.0  0.0  0.0  0.0 -1.414214  1.414214  0.0  0.0  1.414214 -1.414214  0.0  0.0



kpoint  A : 0.500000 0.500000 0.500000 :  1 2 3 4 5 6 7 8
-(A)R5  2  0.0  0.0  0.0 -2.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0



kpoint  M : 0.500000 0.500000 0.000000 :  1 2 3 4 5 6 7 8
-(M)S5  2  0.0  0.0  0.0 -2.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0



kpoint  R : 0.000000 0.500000 0.500000 :  1 2 3 4
-(R)T2  1  0.0  1.0  0.0 -1.0  0.0 -1.0  0.0
-(R)T3  1  0.0 -1.0  0.0 -1.0  0.0  1.0  0.0
-(R)T4  1  0.0 -1.0  0.0 -1.0  0.0  1.0  0.0
-(R)T5  1  0.0  1.0  0.0 -1.0  0.0 -1.0  0.0



kpoint  RA : 0.500000 0.000000 0.500000 :  1 2 3 4
-(RA)U2  1  0.0  0.0  1.0 -1.0  0.0  0.0 -1.0
-(RA)U3  1  0.0  0.0  1.0 -1.0  0.0  0.0 -1.0
-(RA)U4  1  0.0  0.0 -1.0 -1.0  0.0  0.0  1.0
-(RA)U5  1  0.0  0.0 -1.0 -1.0  0.0  0.0  1.0



kpoint  X : 0.000000 0.500000 0.000000 :  1 2 3 4
-(X)Y2  1  0.0  1.0  0.0 -1.0  0.0 -1.0  0.0
-(X)Y3  1  0.0 -1.0  0.0 -1.0  0.0  1.0  0.0
-(X)Y4  1  0.0 -1.0  0.0 -1.0  0.0  1.0  0.0
-(X)Y5  1  0.0  1.0  0.0 -1.0  0.0 -1.0  0.0



kpoint  XA : 0.500000 0.000000 0.000000 :  1 2 3 4
-(XA)X2  1  0.0  0.0  1.0 -1.0  0.0  0.0 -1.0
-(XA)X3  1  0.0  0.0  1.0 -1.0  0.0  0.0 -1.0
-(XA)X4  1  0.0  0.0 -1.0 -1.0  0.0  0.0  1.0
-(XA)X5  1  0.0  0.0 -1.0 -1.0  0.0  0.0  1.0



kpoint  Z : 0.000000 0.000000 0.500000 :  1 2 3 4 5 6 7 8
-Z5  2  0.0  0.0  0.0 -2.0  0.0  0.0  0.0 -1.414214  1.414214  0.0  0.0  1.414214 -1.414214  0.0  0.0
