SG=<i>P</i><i>n</i><i>a</i>'2<sub>1</sub>'
 name=33.147
 spinor=True
symmetries=
        1 0 0 0 1 0 0 0 1    0 0 0    1.0 0.0 0.0 1.0    0.0 0.0 0.0 0.0
 -1 0 0 0 1 0 0 0 1    1/2 1/2 1/2  0.0 1.0 1.0 0.0    0.0 -0.5 -0.5 0.0
    -1 0 0 0 -1 0 0 0 1    0 0 1/2   1.0 0.0 0.0 1.0    -0.5 0.0 0.0 0.5
   1 0 0 0 -1 0 0 0 1    1/2 1/2 0    0.0 1.0 1.0 0.0    0.0 1.0 0.0 0.0


kpoint  GM : 0.000000 0.000000 0.000000 :  1 2 3 4
-GM3  1  0.0 -1.0  0.0  1.0  0.0 -1.0  0.0
-GM4  1  0.0 -1.0  0.0  1.0  0.0 -1.0  0.0



kpoint  R : 0.500000 0.500000 0.500000 :  1 2 3 4
-(R)C3C3  2  0.0 -2.0  0.0  0.0  0.0  0.0  0.0
-(R)C4C4  2  0.0 -2.0  0.0  0.0  0.0  0.0  0.0



kpoint  S : 0.500000 0.500000 0.000000 :  1 2 3 4
-(S)E3E4  2  0.0 -2.0  0.0  0.0  0.0  0.0  0.0



kpoint  T : 0.000000 0.500000 0.500000 :  1 2 3 4
-(T)Y3Y4  2  0.0 -2.0  0.0  0.0  0.0  0.0  0.0



kpoint  U : 0.500000 0.000000 0.500000 :  1 2 3 4
-(U)D3D3  2  2.0 -2.0 -2.0  0.0  0.0  0.0  0.0
-(U)D4D4  2 -2.0 -2.0  2.0  0.0  0.0  0.0  0.0



kpoint  X : 0.500000 0.000000 0.000000 :  1 2 3 4
-(X)Z3Z4  2  0.0 -2.0  0.0  0.0  0.0  0.0  0.0



kpoint  Y : 0.000000 0.500000 0.000000 :  1 2 3 4
-(Y)A3  1 -1.0 -1.0  1.0  1.0  1.0 -1.0 -1.0
-(Y)A4  1  1.0 -1.0 -1.0  1.0 -1.0 -1.0  1.0



kpoint  Z : 0.000000 0.000000 0.500000 :  1 2 3 4
-(Z)B3B4  2  0.0 -2.0  0.0  0.0  0.0  0.0  0.0
