SG=<i>P</i>-62<i>c</i>
 name=190.227
 spinor=True
symmetries=
      1 0 0 0 1 0 0 0 1    0 0 0                                 1.0 0.0 0.0 1.0    0.0 0.0 0.0 0.0
-HA5  1 -1.0 -1.0  0.0  0.0  0.0  0.0  0.0  0.0  1.0  1.0  1.0 -1.0  1.0  1.0  0.0  0.0  0.0  0.0  0.0  0.0 -1.0 -1.0 -1.0
-HA6  1 -1.0 -1.0  0.0  0.0  0.0  0.0  0.0  0.0  1.0  1.0  1.0 -1.0  1.0  1.0  0.0  0.0  0.0  0.0  0.0  0.0 -1.0 -1.0 -1.0
-HA7  1 -1.0 -1.0  0.0  0.0  0.0  0.0  0.0  0.0 -1.0 -1.0 -1.0 -1.0  1.0  1.0  0.0  0.0  0.0  0.0  0.0  0.0  1.0  1.0  1.0
-HA8  2  1.0  1.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0 -2.0 -1.0 -1.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0
-HA9  2  1.0  1.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0 -2.0 -1.0 -1.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0



kpoint  K : 0.333333 0.333333 0.000000 :  1 2 3 4 5 6 7 8 9 10 11 12
-K7  2 -2.0 -2.0  0.0  0.000000  0.000000  0.0  0.0  0.0  0.0  0.0  0.0 -2.0  2.0  2.0  0.0  0.000000  0.000000  0.0  0.0  0.0  0.0  0.0  0.0
-K8  2  1.0  1.0  0.0 -1.732051 -1.732051  0.0  0.0  0.0  0.0  0.0  0.0 -2.0 -1.0 -1.0  0.0  1.732051  1.732051  0.0  0.0  0.0  0.0  0.0  0.0
-K9  2  1.0  1.0  0.0  1.732051  1.732051  0.0  0.0  0.0  0.0  0.0  0.0 -2.0 -1.0 -1.0  0.0 -1.732051 -1.732051  0.0  0.0  0.0  0.0  0.0  0.0



kpoint  KA : 0.666667 0.666667 0.000000 :  1 2 3 4 5 6 7 8 9 10 11 12
-KA7  2 -2.0 -2.0  0.0  0.000000  0.000000  0.0  0.0  0.0  0.0  0.0  0.0 -2.0  2.0  2.0  0.0  0.000000  0.000000  0.0  0.0  0.0  0.0  0.0  0.0
-KA8  2  1.0  1.0  0.0 -1.732051 -1.732051  0.0  0.0  0.0  0.0  0.0  0.0 -2.0 -1.0 -1.0  0.0  1.732051  1.732051  0.0  0.0  0.0  0.0  0.0  0.0
-KA9  2  1.0  1.0  0.0  1.732051  1.732051  0.0  0.0  0.0  0.0  0.0  0.0 -2.0 -1.0 -1.0  0.0 -1.732051 -1.732051  0.0  0.0  0.0  0.0  0.0  0.0



kpoint  L : 0.500000 0.000000 0.500000 :  1 2 3 4
-L2  1  0.0  0.0  1.0 -1.0  0.0  0.0 -1.0
-L3  1  0.0  0.0  1.0 -1.0  0.0  0.0 -1.0
-L4  1  0.0  0.0 -1.0 -1.0  0.0  0.0  1.0
-L5  1  0.0  0.0 -1.0 -1.0  0.0  0.0  1.0



kpoint  M : 0.500000 0.000000 0.000000 :  1 2 3 4
-M5  2  0.0  0.0  0.0 -2.0  0.0  0.0  0.0
