SG=<i>P</i><sub><i>c</i></sub>6<sub>1</sub>22
 name=178.160
 spinor=True
symmetries=
          1 0 0   0 1 0   0 0 1   0 0 0                                 1.0 0.0 0.0 1.0    0.0 0.0 0.0 0.0
  0 -1 0   1 -1 0   0 0 1   0 0 0.33333   1.0 0.0 0.0 1.0    0.3333333333333333 0.0 0.0 0.6666666666666667
  -1 1 0   -1 0 0   0 0 1   0 0 0.66667   1.0 0.0 0.0 1.0    0.6666666666666667 0.0 0.0 0.3333333333333333
  -1 0 0   0 -1 0   0 0 1   0 0 0.50000                                1.0 0.0 0.0 1.0    -0.5 0.0 0.0 0.5
   0 1 0   -1 1 0   0 0 1   0 0 0.83333  1.0 0.0 0.0 1.0    0.8333333333333334 0.0 0.0 0.16666666666666669
   1 -1 0   1 0 0   0 0 1   0 0 0.16667  1.0 0.0 0.0 1.0    0.16666666666666669 0.0 0.0 0.8333333333333334
   0 1 0   1 0 0   0 0 -1   0 0 0.33333  0.0 1.0 1.0 0.0    0.0 -0.6666666666666667 0.6666666666666667 0.0
       1 -1 0   0 -1 0   0 0 -1   0 0 0                                 0.0 1.0 1.0 0.0    0.0 1.0 0.0 0.0
 -1 0 0   -1 1 0   0 0 -1   0 0 0.66667   0.0 1.0 1.0 0.0    0.0 0.6666666666666667 0.3333333333333333 0.0
 0 -1 0   -1 0 0   0 0 -1   0 0 0.83333  0.0 1.0 1.0 0.0    0.0 0.8333333333333334 0.16666666666666669 0.0
  -1 1 0   0 1 0   0 0 -1   0 0 0.50000                               0.0 1.0 1.0 0.0    0.0 -0.5 -0.5 0.0
  1 0 0   1 -1 0   0 0 -1   0 0 0.16667  0.0 1.0 1.0 0.0    0.0 0.16666666666666669 0.8333333333333334 0.0


-A6  1   1.000 1.000 1.000 -1.000 -1.000 -1.000 1.000 -0.000 -0.000 -0.000 -0.000 -0.000 -0.000 -1.000 -1.000 1.000 1.000 1.000 -1.000 -0.000 -0.000 -0.000 -0.000 -0.000 -0.000 1.000 1.000 1.000 1.000 1.000 1.000 -0.000 -0.000 -0.000 -0.000 -0.000 -0.000 -1.000 -1.000 -1.000 -1.000 -1.000 -1.000 -0.000 -0.000 -0.000 -0.000 -0.000 -0.000 0.000 0.000 0.000 -1.000 -1.000 -1.000 0.000 -0.500 -0.500 0.500 0.500 -0.500 0.500 -1.000 -1.000 0.000 0.000 0.000 -1.000 0.500 0.500 -0.500 -0.500 0.500 -0.500 0.000 0.000 0.000 0.000 0.000 0.000 0.500 0.500 0.500 0.500 -0.500 -0.500 -1.000 -1.000 -1.000 -1.000 -1.000 -1.000 -0.500 -0.500 -0.500 -0.500 0.500 0.500
-A7  1   1.000 1.000 1.000 -1.000 -1.000 -1.000 1.000 -0.000 -0.000 -0.000 -0.000 -0.000 -0.000 -1.000 -1.000 1.000 1.000 1.000 -1.000 -0.000 -0.000 -0.000 -0.000 -0.000 -0.000 1.000 1.000 1.000 1.000 1.000 1.000 -0.000 -0.000 -0.000 -0.000 -0.000 -0.000 -1.000 -1.000 -1.000 -1.000 -1.000 -1.000 -0.000 -0.000 -0.000 -0.000 -0.000 -0.000 0.000 0.000 0.000 -1.000 -1.000 -1.000 0.000 0.500 0.500 -0.500 -0.500 0.500 -0.500 -1.000 -1.000 0.000 0.000 0.000 -1.000 -0.500 -0.500 0.500 0.500 -0.500 0.500 0.000 0.000 0.000 0.000 0.000 0.000 -0.500 -0.500 -0.500 -0.500 0.500 0.500 -1.000 -1.000 -1.000 -1.000 -1.000 -1.000 0.500 0.500 0.500 0.500 -0.500 -0.500
-A8  2   2.000 2.000 -1.000 1.000 2.000 -1.000 1.000 0.000 0.000 0.000 0.000 0.000 0.000 -2.000 1.000 -1.000 -2.000 1.000 -1.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 -1.732 1.732 0.000 -1.732 1.732 0.000 0.000 0.000 0.000 0.000 0.000 0.000 1.732 -1.732 0.000 1.732 -1.732 0.000 0.000 1.000 0.000 0.000 1.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 -1.000 0.000 1.000 -1.000 0.000 1.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 1.000 0.000 0.000 1.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 1.000 0.000 0.000 1.000
-A9  2   2.000 2.000 -1.000 1.000 -2.000 1.000 -1.000 0.000 0.000 0.000 0.000 0.000 0.000 -2.000 1.000 -1.000 2.000 -1.000 1.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 -1.732 1.732 0.000 1.732 -1.732 0.000 0.000 0.000 0.000 0.000 0.000 0.000 1.732 -1.732 0.000 -1.732 1.732 0.000 0.000 1.000 0.000 -1.000 0.000 1.000 0.000 0.000 0.000 0.000 0.000 0.000 -1.000 0.000 1.000 0.000 1.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 1.000 0.000 0.000 0.000 1.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 1.000 0.000 1.000 0.000



kpoint  H : 0.333333 0.333333 0.500000 ; H  :  0.3333333333333333 0.3333333333333333 0.5 :  1 2 3 4 5 6
-H4  1   1.000 1.000 1.000 -1.000 -0.000 -0.000 -0.000 -1.000 -1.000 1.000 -0.000 -0.000 -0.000 1.000 1.000 1.000 -0.000 -0.000 -0.000 -1.000 -1.000 -1.000 -0.000 -0.000 -0.000 0.000 0.000 0.000 -1.000 -0.500 -0.500 0.500 -1.000 -1.000 0.000 0.500 0.500 -0.500 0.000 0.000 0.000 0.500 -0.500 -0.500 -1.000 -1.000 -1.000 -0.500 0.500 0.500
-H5  1   1.000 1.000 1.000 -1.000 -0.000 -0.000 -0.000 -1.000 -1.000 1.000 -0.000 -0.000 -0.000 1.000 1.000 1.000 -0.000 -0.000 -0.000 -1.000 -1.000 -1.000 -0.000 -0.000 -0.000 0.000 0.000 0.000 -1.000 0.500 0.500 -0.500 -1.000 -1.000 0.000 -0.500 -0.500 0.500 0.000 0.000 0.000 -0.500 0.500 0.500 -1.000 -1.000 -1.000 0.500 -0.500 -0.500
-H6  2   2.000 2.000 -1.000 1.000 0.000 0.000 0.000 -2.000 1.000 -1.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 -0.000 -0.000 0.000 0.000 0.000 0.000 -0.000 -0.000 0.000 0.000 1.000 0.000 0.000 0.000 0.000 -1.000 0.000 1.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 -0.500 0.500 0.000 0.000 0.000 0.000 0.500 -0.500



kpoint  K : 0.333333 0.333333 0.000000 ; K  :  0.3333333333333333 0.3333333333333333 0.0 :  1 2 3 4 5 6
-K4  1   1.000 1.000 -1.000 -1.000 -0.000 -0.000 -0.000 -1.000 1.000 1.000 -0.000 -0.000 -0.000 1.000 -1.000 1.000 -0.000 -0.000 -0.000 -1.000 1.000 -1.000 -0.000 -0.000 -0.000 0.000 0.000 -1.000 -1.000 -0.500 0.500 -0.500 -1.000 0.000 0.000 0.500 -0.500 0.500 0.000 -1.000 0.000 0.500 0.500 0.500 -1.000 0.000 -1.000 -0.500 -0.500 -0.500
-K5  1   1.000 1.000 -1.000 -1.000 -0.000 -0.000 -0.000 -1.000 1.000 1.000 -0.000 -0.000 -0.000 1.000 -1.000 1.000 -0.000 -0.000 -0.000 -1.000 1.000 -1.000 -0.000 -0.000 -0.000 0.000 0.000 -1.000 -1.000 0.500 -0.500 0.500 -1.000 0.000 0.000 -0.500 0.500 -0.500 0.000 -1.000 0.000 -0.500 -0.500 -0.500 -1.000 0.000 -1.000 0.500 0.500 0.500
-K6  2   2.000 2.000 1.000 1.000 0.000 0.000 0.000 -2.000 -1.000 -1.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 -0.000 -0.000 0.000 0.000 0.000 0.000 -0.000 -0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 -1.000 1.000 1.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 -0.500 0.500 0.000 0.000 0.000 0.000 0.500 -0.500



kpoint  L : 0.500000 0.000000 0.500000 ; L  :  0.5 0.0 0.5 :  1 2 3 4
-L2  1   1.000 1.000 1.000 -0.000 -0.000 -1.000 -1.000 -0.000 -0.000 1.000 -1.000 -0.000 -0.000 -1.000 1.000 -0.000 -0.000 0.000 0.000 0.000 0.500 -0.500 -1.000 -1.000 -0.500 0.500 0.000 -1.000 0.500 0.500 -1.000 0.000 -0.500 -0.500
-L3  1   1.000 1.000 -1.000 -0.000 -0.000 -1.000 1.000 -0.000 -0.000 1.000 1.000 -0.000 -0.000 -1.000 -1.000 -0.000 -0.000 0.000 0.000 -1.000 -0.500 -0.500 -1.000 0.000 0.500 0.500 0.000 0.000 -0.500 0.500 -1.000 -1.000 0.500 -0.500
-L4  1   1.000 1.000 1.000 -0.000 -0.000 -1.000 -1.000 -0.000 -0.000 1.000 -1.000 -0.000 -0.000 -1.000 1.000 -0.000 -0.000 0.000 0.000 0.000 -0.500 0.500 -1.000 -1.000 0.500 -0.500 0.000 -1.000 -0.500 -0.500 -1.000 0.000 0.500 0.500
-L5  1   1.000 1.000 -1.000 -0.000 -0.000 -1.000 1.000 -0.000 -0.000 1.000 1.000 -0.000 -0.000 -1.000 -1.000 -0.000 -0.000 0.000 0.000 -1.000 0.500 0.500 -1.000 0.000 -0.500 -0.500 0.000 0.000 0.500 -0.500 -1.000 -1.000 -0.500 0.500



kpoint  M : 0.500000 0.000000 0.000000 ; M  :  0.5 0.0 0.0 :  1 2 3 4
-M5  2   2.000 2.000 0.000 0.000 0.000 -2.000 0.000 0.000 0.000 0.000 2.000 0.000 0.000 0.000 -2.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 -1.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 -1.000 0.000 0.000
