kpoint  M : 0.500000 0.500000 0.000000 :  1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16
-(M)Y1-Y1+  2  2.0  2.0  2.0  0.0  0.0  0.0  0.0  2.0  2.0  2.0  2.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0
-(M)Y2-Y2+  2  2.0 -2.0 -2.0  0.0  0.0  0.0  0.0  2.0  2.0 -2.0 -2.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0
-(M)Y3+Y4-  2 -2.0  0.0  0.0  0.0  0.0  2.0 -2.0  2.0 -2.0  0.0  0.0  0.0  0.0  2.0 -2.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0
-(M)Y3-Y4+  2 -2.0  0.0  0.0  0.0  0.0 -2.0  2.0  2.0 -2.0  0.0  0.0  0.0  0.0 -2.0  2.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0



kpoint  R : 0.000000 0.500000 0.500000 :  1 2 3 4 5 6 7 8
-R1  2  0.0  0.0  0.0  2.0  0.0  0.0  0.0 -1.414214  0.0  0.0  0.0 -1.414214  0.0  0.0  0.0



kpoint  X : 0.000000 0.500000 0.000000 :  1 2 3 4 5 6 7 8
-(X)S1  2  0.0  0.0  0.0  2.0  0.0  0.0  0.0 -1.414214  0.0  0.0  0.0 -1.414214  0.0  0.0  0.0



kpoint  Z : 0.000000 0.000000 0.500000 :  1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16
-Z1+     1  1.0  1.0  1.0  1.0  1.0  1.0  1.0  1.0  1.0  1.0  1.0  1.0  1.0  1.0  1.0  1.000000  1.000000  1.0  1.0  1.000000  1.000000  1.0  1.0  1.000000  1.000000  1.0  1.0  1.000000  1.000000  1.0  1.0
-Z1-     1  1.0  1.0  1.0 -1.0 -1.0 -1.0 -1.0  1.0  1.0  1.0  1.0 -1.0 -1.0 -1.0 -1.0  1.000000  1.000000  1.0  1.0 -1.000000 -1.000000 -1.0 -1.0  1.000000  1.000000  1.0  1.0 -1.000000 -1.000000 -1.0 -1.0
-Z2+     1  1.0 -1.0 -1.0  1.0  1.0 -1.0 -1.0  1.0  1.0 -1.0 -1.0  1.0  1.0 -1.0 -1.0 -1.000000 -1.000000  1.0  1.0 -1.000000 -1.000000  1.0  1.0 -1.000000 -1.000000  1.0  1.0 -1.000000 -1.000000  1.0  1.0
-Z2-     1  1.0 -1.0 -1.0 -1.0 -1.0  1.0  1.0  1.0  1.0 -1.0 -1.0 -1.0 -1.0  1.0  1.0 -1.000000 -1.000000  1.0  1.0  1.000000  1.000000 -1.0 -1.0 -1.000000 -1.000000  1.0  1.0  1.000000  1.000000 -1.0 -1.0
-Z3+Z4+  2 -2.0  0.0  0.0  2.0 -2.0  0.0  0.0  2.0 -2.0  0.0  0.0  2.0 -2.0  0.0  0.0  0.000000  0.000000  0.0  0.0  0.000000  0.000000  0.0  0.0  0.000000  0.000000  0.0  0.0  0.000000  0.000000  0.0  0.0
-Z3-Z4-  2 -2.0  0.0  0.0 -2.0  2.0  0.0  0.0  2.0 -2.0  0.0  0.0 -2.0  2.0  0.0  0.0  0.000000  0.000000  0.0  0.0  0.000000  0.000000  0.0  0.0  0.000000  0.000000  0.0  0.0  0.000000  0.000000  0.0  0.0
-Z6      2  0.0  0.0  0.0 -2.0  0.0  0.0  0.0 -2.0  0.0  0.0  0.0  2.0  0.0  0.0  0.0 -1.414214  1.414214  0.0  0.0  1.414214 -1.414214  0.0  0.0  1.414214 -1.414214  0.0  0.0 -1.414214  1.414214  0.0  0.0
