SG=214.69
 name=I4_1'32'
 nsym=12
 spinor=True
symmetries=
     1 0 0 0 1 0 0 0 1    0 0 0                                                                     1.0 0.0 0.0 1.0    0.0 0.0 0.0 0.0
 -1 0 0 0 -1 0 0 0 1    0 0.5 0                                                                    1.0 0.0 0.0 1.0    -0.5 0.0 0.0 0.5
 -1 0 0 0 1 0 0 0 -1    0.5 0 0                                                                     0.0 1.0 1.0 0.0    0.0 1.0 0.0 0.0
 1 0 0 0 -1 0 0 0 -1    0 0 0.5                                                                   0.0 1.0 1.0 0.0    0.0 -0.5 -0.5 0.0
     0 0 1 1 0 0 0 1 0    0 0 0  0.7071067811865476 0.7071067811865476 0.7071067811865476 0.7071067811865476    -0.25 -0.75 -0.25 0.25
 0 0 1 -1 0 0 0 -1 0    0 0 0.5    0.7071067811865476 0.7071067811865476 0.7071067811865476 0.7071067811865476    0.25 0.75 0.25 -0.25
 0 0 -1 -1 0 0 0 1 0    0 0.5 0  0.7071067811865476 0.7071067811865476 0.7071067811865476 0.7071067811865476    0.25 -0.25 -0.75 -0.25
 0 0 -1 1 0 0 0 -1 0    0.5 0 0    0.7071067811865476 0.7071067811865476 0.7071067811865476 0.7071067811865476    -0.25 0.25 0.75 0.25
     0 1 0 0 0 1 1 0 0    0 0 0    0.7071067811865476 0.7071067811865476 0.7071067811865476 0.7071067811865476    0.25 0.25 0.75 -0.25
 0 -1 0 0 0 1 -1 0 0    0.5 0 0    0.7071067811865476 0.7071067811865476 0.7071067811865476 0.7071067811865476    -0.25 0.75 0.25 0.25
 0 1 0 0 0 -1 -1 0 0    0 0 0.5  0.7071067811865476 0.7071067811865476 0.7071067811865476 0.7071067811865476    0.25 -0.75 -0.25 -0.25
 0 -1 0 0 0 -1 1 0 0    0 0.5 0  0.7071067811865476 0.7071067811865476 0.7071067811865476 0.7071067811865476    -0.25 -0.25 -0.75 0.25


 kpoint  GM : 0.000000 0.000000 0.000000  : 1 2 3 4 5 6 7 8 9 10 11 12
-P6  1    1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 0.00000 0.50000 0.50000 0.50000 0.33333 -0.16667 -0.16667 -0.16667 -0.33333 0.16667 0.16667 0.16667 0.00000 -0.50000 0.00000 -1.00000 0.66667 -0.33333 0.16667 -0.33333 0.33333 -0.66667 -0.66667 0.83333
-P7  3    3.00000 1.00000 1.00000 1.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 0.00000 -0.50000 -0.50000 -0.50000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 -1.00000 0.50000 0.00000 -1.00000 0.00000 0.00000 0.50000 -1.00000 -1.00000 -1.00000 0.00000 0.50000



 kpoint  PA : 0.750000 0.750000 0.750000  : 1 2 3 4 5 6 7 8 9 10 11 12
-PA4  1    1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 0.00000 -0.50000 -0.50000 -0.50000 -1.00000 -0.50000 -0.50000 -0.50000 -1.00000 0.50000 0.50000 0.50000 0.00000 0.50000 0.00000 -1.00000 0.00000 -1.00000 0.50000 -1.00000 -1.00000 0.00000 0.00000 0.50000
-PA5  1    1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 0.00000 -0.50000 -0.50000 -0.50000 0.33333 0.83333 0.83333 0.83333 -0.33333 -0.83333 -0.83333 -0.83333 0.00000 0.50000 0.00000 -1.00000 0.66667 -0.33333 -0.83333 -0.33333 0.33333 -0.66667 -0.66667 -0.16667
-PA6  1    1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 0.00000 -0.50000 -0.50000 -0.50000 -0.33333 0.16667 0.16667 0.16667 0.33333 -0.16667 -0.16667 -0.16667 0.00000 0.50000 0.00000 -1.00000 -0.66667 0.33333 -0.16667 0.33333 -0.33333 0.66667 0.66667 -0.83333
-PA7  3    3.00000 1.00000 1.00000 1.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 0.00000 0.50000 0.50000 0.50000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 -1.00000 -0.50000 0.00000 -1.00000 0.00000 0.00000 -0.50000 -1.00000 -1.00000 -1.00000 0.00000 -0.50000
