SG=P6/mc'c'
 name=192.250
 nsym=12
 spinor=False
symmetries=
    1 0 0   0 1 0   0 0 1   0 0 0
  0 -1 0   1 -1 0   0 0 1   0 0 0
  -1 1 0   -1 0 0   0 0 1   0 0 0
  -1 0 0   0 -1 0   0 0 1   0 0 0
   0 1 0   -1 1 0   0 0 1   0 0 0
   1 -1 0   1 0 0   0 0 1   0 0 0
 -1 0 0   0 -1 0   0 0 -1   0 0 0
  0 1 0   -1 1 0   0 0 -1   0 0 0
  1 -1 0   1 0 0   0 0 -1   0 0 0
   1 0 0   0 1 0   0 0 -1   0 0 0
 0 -1 0   1 -1 0   0 0 -1   0 0 0
 -1 1 0   -1 0 0   0 0 -1   0 0 0


 kpoint  GM : 0.000000 0.000000 0.000000  : 1 2 3 4 5 6 7 8 9 10 11 12
A4-A4+  2    2.000 2.000 2.000 2.000 2.000 2.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.667 -0.667 -1.000 -0.333 0.333 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
A5-A5+  2    2.000 2.000 2.000 2.000 2.000 2.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 -0.667 0.667 0.000 -0.667 0.667 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
A6-A6+  2    2.000 2.000 2.000 2.000 2.000 2.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 -0.667 0.667 -1.000 0.333 -0.333 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000



 kpoint  H : 0.333333 0.333333 0.500000  : 1 2 3 5 6 7 8 9 10 11 12
H1H2  2    2.000 2.000 2.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
H3H4  2    2.000 2.000 2.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.667 -0.667 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
H5H6  2    2.000 2.000 2.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 -0.667 0.667 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000



 kpoint  K : 0.333333 0.333333 0.000000  : 1 2 3 5 6 7 8 9 10 11 12
