SG=P6'/m'm'm
 name=191.238
 nsym=12
 spinor=False
symmetries=
    1 0 0   0 1 0   0 0 1   0 0 0
  0 -1 0   1 -1 0   0 0 1   0 0 0
  -1 1 0   -1 0 0   0 0 1   0 0 0
 0 -1 0   -1 0 0   0 0 -1   0 0 0
  -1 1 0   0 1 0   0 0 -1   0 0 0
  1 0 0   1 -1 0   0 0 -1   0 0 0
 -1 0 0   0 -1 0   0 0 -1   0 0 0
  0 1 0   -1 1 0   0 0 -1   0 0 0
  1 -1 0   1 0 0   0 0 -1   0 0 0
    0 1 0   1 0 0   0 0 1   0 0 0
  1 -1 0   0 -1 0   0 0 1   0 0 0
  -1 0 0   -1 1 0   0 0 1   0 0 0


 kpoint  GM : 0.000000 0.000000 0.000000  : 1 2 3 4 5 6 7 8 9 10 11 12
 kpoint  K : 0.333333 0.333333 0.000000  : 1 2 3 7 8 9 10 11 12
K1  1    1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000
K2  1    1.000 1.000 1.000 -1.000 -1.000 -1.000 1.000 1.000 1.000 -1.000 -1.000 -1.000
K3  2    2.000 -1.000 -1.000 0.000 0.000 0.000 0.000 0.000 0.000 2.000 -1.000 -1.000



 kpoint  L : 0.500000 0.000000 0.500000  : 1 6 7 12
L1+  1    1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000
L1-  1    1.000 1.000 -1.000 -1.000 1.000 1.000 -1.000 -1.000
L2+  1    1.000 -1.000 1.000 -1.000 1.000 -1.000 1.000 -1.000
L2-  1    1.000 -1.000 -1.000 1.000 1.000 -1.000 -1.000 1.000



 kpoint  M : 0.500000 0.000000 0.000000  : 1 6 7 12
M1+  1    1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000
M1-  1    1.000 1.000 -1.000 -1.000 1.000 1.000 -1.000 -1.000
M2+  1    1.000 -1.000 1.000 -1.000 1.000 -1.000 1.000 -1.000
M2-  1    1.000 -1.000 -1.000 1.000 1.000 -1.000 -1.000 1.000
