GM:(0,0,0)  L:(1/2,1/2,1/2)  W:(1/2,1,0)  X:(0,1,0)
GM:(0,0,0)  L:(1/2,1/2,1/2)  W:(1/2,1,0)  X:(0,1,0)
GM1-  GM2+GM3+  GM2-GM3-  GM1+  GM4+  GM4-  GM6GM7  GM10GM9  GM5  GM8  L1-L1+  L2+L3-  L2-L3+  L4L7  L5L9  L6L8  W2  W1  W3  W4  W5  X1-  X1+  X2+  X3+  X4+  X2-  X3-  X4-  X5  X6
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 -1 0 0 0 0 0 0 0 0 0
-1 0 0 -1 -1 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 1 0 1 1 0 0 0 0 -1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 0 0 0 0 0 0 0 0 0
0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 -1 0 0 0 0 1 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 2 0 -1 -2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 0
0 0 0 0 0 0 -1 -1 -1 -1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 -1 -1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2 -2 2 0 2 0 0 0 0 0 -2 0 0 0 0 0 -1 1 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 -2 1 -1 0 0 0 0 0 -2 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0
0 0 -2 1 -1 0 0 0 0 0 -2 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0
