GM:(0,0,0)  A:(0,0,1/2)  H:(1/3,1/3,1/2)  K:(1/3,1/3,0)  L:(1/2,0,1/2)  M:(1/2,0,0)
GM:(0,0,0)  A:(0,0,1/2)  H:(1/3,1/3,1/2)  K:(1/3,1/3,0)  L:(1/2,0,1/2)  M:(1/2,0,0)
GM3+GM5+  GM3-GM5-  GM4+GM6+  GM4-GM6-  GM1+  GM1-  GM2+  GM2-  GM7GM8  GM13GM14  GM12GM9  GM15GM18  GM10GM11  GM16GM17  A3+A5+  A3-A5-  A4+A6+  A4-A6-  A1+  A1-  A2+  A2-  A7A8  A13A14  A12A9  A15A18  A10A11  A16A17  H3H5  H4H6  H1  H2  H7H8  H12H9  H10H11  K3K5  K4K6  K1  K2  K7K8  K12K9  K10K11  L1+  L1-  L2+  L2-  L3L4  L5L6  M1+  M1-  M2+  M2-  M3M4  M5M6
0 0 0 0 0 0 0 0 1 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 0 0 0 0 0 0 0 -1 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 -1 0 0 0 -2 0 0 0 0 0 0 0 0 -1 0 -2 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 -1 0
-1 0 1 0 0 0 0 0 -1 -3 -1 0 -1 -6 1 0 -1 0 0 0 0 0 -2 0 -5 0 1 0 -1 0 0 0 3 3 0 1 0 0 0 0 3 0 0 0 0 0 2 0 0 0 0 0 -2 0
4 0 0 0 2 0 0 0 -1 -3 -2 0 0 -6 -4 0 0 0 -2 0 0 0 -2 0 -4 0 0 0 0 0 0 0 3 2 0 0 0 0 0 0 4 0 2 0 0 0 2 0 -2 0 0 0 -2 0
4 0 0 0 2 0 0 0 -1 -4 -3 0 1 -8 -2 0 0 0 -1 0 0 0 -3 0 -5 0 -1 0 0 0 0 0 4 2 0 0 0 0 0 0 6 0 1 0 0 0 3 0 -2 0 0 0 -3 0
4 2 0 0 2 1 0 0 -1 -4 -3 0 1 -8 -4 0 0 0 -2 0 0 0 -3 0 -5 0 -1 0 0 0 0 0 4 2 0 0 0 0 0 0 6 0 1 -1 0 0 3 0 -1 0 0 0 -3 0
4 0 0 0 2 0 0 0 0 -4 -2 0 2 -8 -4 0 0 0 -2 0 0 0 -3 0 -5 0 -1 0 0 0 0 0 4 2 0 0 0 0 0 0 6 0 2 0 0 0 3 0 -2 0 0 0 -4 0
6 0 0 0 3 0 0 0 -1 -4 -3 0 1 -8 -6 0 0 0 -3 0 0 0 -3 0 -5 0 -1 0 0 0 0 0 4 2 0 0 0 0 0 0 6 0 3 0 0 0 3 0 -3 0 0 0 -3 0
0 0 0 0 0 0 0 0 3 0 -1 0 7 0 0 0 0 0 0 0 0 0 -3 0 1 0 -7 0 0 0 0 0 0 -4 0 0 0 0 0 0 4 0 0 0 0 0 3 0 0 0 0 0 -3 0
0 0 0 0 0 0 0 0 -1 -1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 -1 -1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
