GM:(0,0,0)  M:(1/2,1/2,0)  R:(1/2,1/2,1/2)  X:(0,1/2,0)
GM:(0,0,0)  M:(1/2,1/2,0)  R:(1/2,1/2,1/2)  X:(0,1/2,0)
GM1  GM2  GM3  GM4  GM5  GM6  GM7  GM8  M1M4  M2M3  M5  M6M7  R1R2  R3  R4R5  R6R7  R8  X1X3  X2X4  X5  X6  X7
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0

1 0 0 0 0 0 0 0 -1 -1 1 -1 0 0 0 0 0 0 1 -1 0 0
0 1 -1 0 -1 0 0 0 -1 0 -1 0 0 0 -1 0 0 0 -1 0 0 0
0 0 0 0 0 0 0 0 0 -1 0 -1 -1 -1 0 0 0 0 0 -1 0 0
0 0 -1 1 -1 0 0 0 -1 -1 0 0 -1 -1 -1 0 0 0 -1 -1 0 0
0 0 -1 0 0 0 0 0 0 0 0 -1 -1 -1 -1 0 0 0 -1 -1 0 0
0 0 0 0 0 1 -1 -1 0 0 0 0 0 0 0 -1 -1 0 0 0 -1 -1
0 0 0 0 0 0 0 -1 0 0 0 0 0 0 0 -1 -1 0 0 0 -1 -1
0 0 0 0 0 0 -1 -1 0 0 0 0 0 0 0 -1 -1 -1 0 0 -2 -2
0 0 -1 0 -1 0 0 0 1 1 -1 1 0 0 -1 0 0 0 -2 1 0 0
0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
0 0 1 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 2 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 2 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 2
