GM:(0,0,0)  L:(1/2,1/2,1/2)  T:(1,0,0)  Y:(0,1,0)  Z:(0,0,1)
GM:(0,0,0)  L:(1/2,1/2,1/2)  T:(1,0,0)  Y:(0,1,0)  Z:(0,0,1)
GM1+  GM1-  GM2+  GM2-  GM4+  GM4-  GM3+  GM3-  GM5  GM6  L1-L1+  L2L3  T1  T2  T3T4  Y1  Y2  Y3Y4  Z1  Z2  Z3Z4
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0

0 0 -1 0 0 0 0 0 -1 -1 0 0 -1 0 0 0 -1 -1 -1 0 -1
0 0 -1 0 0 0 0 0 -1 -1 0 0 -1 -1 0 0 -1 -1 0 0 -1
0 0 0 0 0 0 0 0 0 -1 0 0 -1 0 0 0 -1 -1 0 0 -1
0 0 -1 1 -1 0 0 0 -1 -2 0 0 -1 -1 0 0 -1 -1 -1 0 -1
1 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 1 0 2 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
0 0 0 1 0 0 0 -1 0 0 -1 -1 0 0 -1 -1 0 0 0 -4 0
0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
0 1 1 0 0 0 0 0 1 1 0 0 1 2 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
0 0 0 1 -1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
0 0 0 1 -1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
0 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 2
