0 1 0 0 0 -1 -1 0 1    0 0 0
<i>P</i><i>n</i><i>n</i>'<i>a</i>'
52.311
<i>P</i>2/<i>c</i>
13
GM : 0.000000 0.000000 0.000000 ; GM  :  0.0 0.0 0.0
R : 0.500000 0.500000 0.500000 ; C  :  -0.5 0.5 0.0
S : 0.500000 0.500000 0.000000 ; D  :  0.0 0.5 -0.5
T : 0.000000 0.500000 0.500000 ; Y  :  -0.5 0.0 0.0
U : 0.500000 0.000000 0.500000 ; E  :  -0.5 0.5 0.5
X : 0.500000 0.000000 0.000000 ; Z  :  0.0 0.5 0.0
Y : 0.000000 0.500000 0.000000 ; B  :  0.0 0.0 -0.5
Z : 0.000000 0.000000 0.500000 ; A  :  -0.5 0.0 0.5
