0.5 0 0 -0.5 0 -1 0 1 0    0 0 0
<i>C</i><i>c</i>'<i>c</i>'<i>a</i>
68.515
<i>P</i>2/<i>c</i>
13
GM : 0.000000 0.000000 0.000000 ; GM  :  0.0 0.0 0.0
R : 0.000000 0.500000 0.500000 ; D  :  0.0 0.5 0.5
RA : 0.500000 0.000000 0.500000 ; E  :  -0.5 0.5 -0.5
S : 0.000000 0.500000 0.000000 ; B  :  0.0 0.0 0.5
SA : 0.500000 0.000000 0.000000 ; A  :  -0.5 0.0 -0.5
T : 0.500000 0.500000 0.500000 ; C  :  0.5 0.5 0.0
Y : 0.500000 0.500000 0.000000 ; Y  :  0.5 0.0 0.0
Z : 0.000000 0.000000 0.500000 ; Z  :  0.0 0.5 0.0
